Order ID,Stage,GHG Type,Source,Amount,Scope
65d1e226dfaeb8cdc42f665422522d14,2. Communicate With Warehouse,co2,electricity,0.059009158157395124,scope2
65d1e226dfaeb8cdc42f665422522d14,2. Communicate With Warehouse,ch4,equipment,0.0011566596,scope2
65d1e226dfaeb8cdc42f665422522d14,2. Communicate With Warehouse,ch4,electricity,0.004039263944452054,scope2
65d1e226dfaeb8cdc42f665422522d14,2. Communicate With Warehouse,n2o,equipment,0.00015422128,scope2
65d1e226dfaeb8cdc42f665422522d14,2. Communicate With Warehouse,n2o,electricity,0.0005385685259269406,scope2
65d1e226dfaeb8cdc42f665422522d14,3. Pack Orders,co2,equipment,4.2469079101048886,scope2
65d1e226dfaeb8cdc42f665422522d14,3. Pack Orders,co2,electricity,14.830968416891976,scope2
65d1e226dfaeb8cdc42f665422522d14,3. Pack Orders,ch4,equipment,0.29070711279999994,scope2
65d1e226dfaeb8cdc42f665422522d14,3. Pack Orders,ch4,electricity,1.0152016713722831,scope2
65d1e226dfaeb8cdc42f665422522d14,3. Pack Orders,n2o,equipment,0.03876094837333333,scope2
65d1e226dfaeb8cdc42f665422522d14,3. Pack Orders,n2o,electricity,0.13536022284963775,scope2
65d1e226dfaeb8cdc42f665422522d14,4. Prepare to Send Orders,co2,equipment,25.90870601075227,scope2
65d1e226dfaeb8cdc42f665422522d14,4. Prepare to Send Orders,co2,electricity,90.47787442099634,scope2
65d1e226dfaeb8cdc42f665422522d14,4. Prepare to Send Orders,ch4,equipment,1.7734891549799998,scope2
65d1e226dfaeb8cdc42f665422522d14,4. Prepare to Send Orders,ch4,electricity,6.193344005087976,scope2
65d1e226dfaeb8cdc42f665422522d14,4. Prepare to Send Orders,n2o,equipment,0.23646522066400003,scope2
65d1e226dfaeb8cdc42f665422522d14,4. Prepare to Send Orders,n2o,electricity,0.8257792006783967,scope2
65d1e226dfaeb8cdc42f665422522d14,5. Deliver Orders,co2,equipment,19.9630183704176,scope2
65d1e226dfaeb8cdc42f665422522d14,5. Deliver Orders,co2,electricity,69.71446078523174,scope2
65d1e226dfaeb8cdc42f665422522d14,5. Deliver Orders,ch4,equipment,1.3664980630799999,scope2
65d1e226dfaeb8cdc42f665422522d14,5. Deliver Orders,ch4,electricity,4.772057705104089,scope2
65d1e226dfaeb8cdc42f665422522d14,5. Deliver Orders,n2o,equipment,0.18219974174400003,scope2
65d1e226dfaeb8cdc42f665422522d14,5. Deliver Orders,n2o,electricity,0.6362743606805452,scope2
65d1e226dfaeb8cdc42f665422522d14,6. Close Orders,co2,equipment,2.0566590857532447,scope2
65d1e226dfaeb8cdc42f665422522d14,6. Close Orders,co2,electricity,7.182224477376756,scope2
